学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_dig,C_per,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,1320013,情報リテラシ実習,31,2.0,6.5,27.0,87.1,1.0,3.2,1.0,3.2,0.0,0.0,29.0,93.5
秋学期,1320023,情報リテラシ実習,26,4.0,15.4,19.0,73.1,2.0,7.7,0.0,0.0,1.0,3.8,23.0,88.5
秋学期,1320033,情報リテラシ実習,25,2.0,8.0,22.0,88.0,1.0,4.0,0.0,0.0,0.0,0.0,24.0,96.0
秋学期,1320043,情報リテラシ実習,26,2.0,7.7,17.0,65.4,6.0,23.1,0.0,0.0,1.0,3.8,19.0,73.1
秋学期,GA10101,情報社会と法制度,267,10.0,3.7,47.0,17.6,80.0,30.0,97.0,36.3,33.0,12.4,57.0,21.3
秋学期,GA10201,知的財産概論,210,10.0,4.8,92.0,43.8,62.0,29.5,38.0,18.1,8.0,3.8,102.0,48.6
春学期,GE10101,知識情報概論,127,8.0,6.3,30.0,23.6,55.0,43.3,33.0,26.0,1.0,0.8,38.0,29.9
秋学期,GE10201,哲学,128,11.0,8.6,34.0,26.6,19.0,14.8,36.0,28.1,28.0,21.9,45.0,35.2
春学期,GE10301,情報基礎,125,19.0,15.2,37.0,29.6,51.0,40.8,17.0,13.6,1.0,0.8,56.0,44.8
春学期,GE10413,情報基礎実習-1,63,2.0,3.2,13.0,20.6,24.0,38.1,21.0,33.3,3.0,4.8,15.0,23.8
春学期,GE10423,情報基礎実習-2,57,1.0,1.8,16.0,28.1,13.0,22.8,22.0,38.6,5.0,8.8,17.0,29.8
秋学期,GE10612,プログラミング演習I-1,59,5.0,8.5,22.0,37.3,14.0,23.7,16.0,27.1,2.0,3.4,27.0,45.8
秋学期,GE10622,プログラミング演習I-2,57,3.0,5.3,23.0,40.4,9.0,15.8,16.0,28.1,6.0,10.5,26.0,45.6
秋学期,GE10712,プログラミング演習II-1,61,3.0,4.9,7.0,11.5,10.0,16.4,24.0,39.3,17.0,27.9,10.0,16.4
秋学期,GE10722,プログラミング演習II-2,75,1.0,1.3,9.0,12.0,16.0,21.3,26.0,34.7,23.0,30.7,10.0,13.3
春学期,GE10732,プログラミング演習II-3,6,0.0,0.0,2.0,33.3,2.0,33.3,0.0,0.0,2.0,33.3,2.0,33.3
春学期,GE10801,情報数学,118,20.0,16.9,30.0,25.4,32.0,27.1,27.0,22.9,9.0,7.6,50.0,42.4
秋学期,GE10911,統計,132,11.0,8.3,29.0,22.0,33.0,25.0,30.0,22.7,29.0,22.0,40.0,30.3
