学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_per,C_dig,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,1320013,情報リテラシ実習,27,4,14.8,20,74.1,2,7.4,1,3.7,0,0.0,24,88.9
秋学期,1320023,情報リテラシ実習,27,4,14.8,22,81.5,1,3.7,0,0.0,0,0.0,26,96.3
秋学期,1320033,情報リテラシ実習,27,4,14.8,16,59.3,5,18.5,1,3.7,1,3.7,20,74.1
秋学期,1320043,情報リテラシ実習,25,4,16.0,19,76.0,2,8.0,0,0.0,0,0.0,23,92.0
秋学期,GA10101,情報社会と法制度,248,17,6.9,107,43.1,79,31.9,25,10.1,20,8.1,124,50.0
秋学期,GA10201,知的財産概論,170,0,0.0,67,39.4,63,37.1,26,15.3,14,8.2,67,39.4
春学期,GE10101,知識情報概論,125,12,9.6,30,24.0,68,54.4,12,9.6,3,2.4,42,33.6
秋学期,GE10201,哲学,138,15,10.9,48,34.8,45,32.6,20,14.5,10,7.2,63,45.7
春学期,GE10301,情報基礎,117,10,8.5,42,35.9,49,41.9,11,9.4,5,4.3,52,44.4
春学期,GE10413,情報基礎実習-1,60,1,1.7,12,20.0,27,45.0,15,25.0,5,8.3,13,21.7
春学期,GE10423,情報基礎実習-2,64,3,4.7,14,21.9,25,39.1,13,20.3,9,14.1,17,26.6
秋学期,GE10612,プログラミング演習I-1,58,1,1.7,30,51.7,11,19.0,14,24.1,2,3.4,31,53.4
秋学期,GE10622,プログラミング演習I-2,60,1,1.7,24,40.0,15,25.0,13,21.7,7,11.7,25,41.7
秋学期,GE10712,プログラミング演習II-1,58,3,5.2,4,6.9,16,27.6,20,34.5,15,25.9,7,12.1
秋学期,GE10722,プログラミング演習II-2,74,3,4.1,6,8.1,19,25.7,32,43.2,14,18.9,9,12.2
春学期,GE10732,プログラミング演習II-3,17,0,0.0,3,17.6,0,0.0,12,70.6,2,11.8,3,17.6
春学期,GE10801,情報数学,120,12,10.0,19,15.8,32,26.7,23,19.2,34,28.3,31,25.8
秋学期,GE10911,統計,145,8,5.5,48,33.1,39,26.9,34,23.4,16,11.0,56,38.6
春学期,GE11012,知識情報演習I-1,71,3,4.2,20,28.2,39,54.9,5,7.0,4,5.6,23,32.4
春学期,GE11022,知識情報演習I-2,67,5,7.5,22,32.8,28,41.8,5,7.5,7,10.4,27,40.3
秋学期,GE11112,知識情報演習II-1,65,1,1.5,28,43.1,26,40.0,3,4.6,7,10.8,29,44.6
秋学期,GE11122,知識情報演習II-2,62,6,9.7,21,33.9,22,35.5,6,9.7,7,11.3,27,43.5
秋学期,GE11212,知識情報演習III-1,72,5,6.9,25,34.7,29,40.3,5,6.9,8,11.1,30,41.7
秋学期,GE11222,知識情報演習III-2,64,16,25.0,12,18.8,21,32.8,10,15.6,5,7.8,28,43.8
秋学期,GE11512,専門英語A-1,7,5,71.4,1,14.3,1,14.3,0,0.0,0,0.0,6,85.7
秋学期,GE11522,専門英語A-2,49,20,40.8,14,28.6,5,10.2,4,8.2,6,12.2,34,69.4
秋学期,GE11532,専門英語A-3,22,3,13.6,14,63.6,2,9.1,2,9.1,1,4.5,17,77.3
秋学期,GE11542,専門英語A-4,38,2,5.3,28,73.7,2,5.3,3,7.9,3,7.9,30,78.9
秋学期,GE20101,情報システム概説,105,6,5.7,34,32.4,35,33.3,19,18.1,11,10.5,40,38.1
秋学期,GE20201,基礎数学A,128,84,65.6,24,18.8,9,7.0,1,0.8,10,7.8,108,84.4
春学期,GE20301,基礎数学B,25,2,8.0,3,12.0,1,4.0,4,16.0,15,60.0,5,20.0
秋学期,GE20401,量的調査法,101,24,23.8,22,21.8,26,25.7,13,12.9,16,15.8,46,45.5
秋学期,GE20501,多変量解析,43,0,0.0,3,7.0,9,20.9,23,53.5,8,18.6,3,7.0
秋学期,GE20511,多変量解析-2,31,0,0.0,8,25.8,9,29.0,12,38.7,2,6.5,8,25.8
春学期,GE20601,情報探索論,122,7,5.7,25,20.5,42,34.4,31,25.4,17,13.9,32,26.2
秋学期,GE20701,質的調査法,94,3,3.2,25,26.6,35,37.2,12,12.8,19,20.2,28,29.8
秋学期,GE20801,情報行動論,96,12,12.5,22,22.9,17,17.7,12,12.5,33,34.4,34,35.4
春学期,GE20901,知識発見基礎論,119,4,3.4,32,26.9,37,31.1,28,23.5,18,15.1,36,30.3
春学期,GE21001,知識資源組織化論,122,6,4.9,31,25.4,56,45.9,22,18.0,7,5.7,37,30.3
春学期,GE21101,データベース概説,108,11,10.2,36,33.3,51,47.2,7,6.5,3,2.8,47,43.5
秋学期,GE21201,コンピュータシステムとネット,94,5,5.3,19,20.2,21,22.3,18,19.1,31,33.0,24,25.5
秋学期,GE21301,自然言語解析基礎,99,9,9.1,32,32.3,34,34.3,10,10.1,14,14.1,41,41.4
春学期,GE21401,メディア社会学,117,19,16.2,39,33.3,37,31.6,11,9.4,11,9.4,58,49.6
春学期,GE21501,経営・組織論,111,1,0.9,23,20.7,36,32.4,44,39.6,7,6.3,24,21.6
春学期,GE21601,公共経済学,89,7,7.9,25,28.1,39,43.8,14,15.7,4,4.5,32,36.0
秋学期,GE21701,生涯学習と図書館,108,4,3.7,25,23.1,37,34.3,23,21.3,19,17.6,29,26.9
秋学期,GE21812,テクスト解釈-1,29,0,0.0,20,69.0,4,13.8,0,0.0,5,17.2,20,69.0
春学期,GE21822,テクスト解釈-2,30,6,20.0,13,43.3,9,30.0,0,0.0,2,6.7,19,63.3
秋学期,GE21832,テクスト解釈-3,41,0,0.0,12,29.3,20,48.8,6,14.6,3,7.3,12,29.3
春学期,GE22001,図書館概論,122,2,1.6,38,31.1,63,51.6,13,10.7,6,4.9,40,32.8
秋学期,GE31023,知的探求の世界I-2,6,1,16.7,4,66.7,1,16.7,0,0.0,0,0.0,5,83.3
秋学期,GE32023,知的探求の世界II-2,8,3,37.5,5,62.5,0,0.0,0,0.0,0,0.0,8,100.0
春学期,GE40201,学習指導と学校図書館,47,2,4.3,20,42.6,20,42.6,1,2.1,4,8.5,22,46.8
秋学期,GE40301,学校図書館メディアの構成,23,3,13.0,5,21.7,10,43.5,2,8.7,3,13.0,8,34.8
春学期,GE40401,読書と豊かな人間性,110,0,0.0,33,30.0,40,36.4,34,30.9,3,2.7,33,30.0
秋学期,GE40501,情報メディアの活用,36,0,0.0,6,16.7,17,47.2,6,16.7,7,19.4,6,16.7
春学期,GE40603,インターンシップ,54,0,0.0,46,85.2,8,14.8,0,0.0,0,0.0,46,85.2
秋学期,GE41001,知識情報学特別講義I,50,1,2.0,14,28.0,20,40.0,4,8.0,11,22.0,15,30.0
春学期,GE50501,知識情報特論III,112,39,34.8,42,37.5,20,17.9,11,9.8,0,0.0,81,72.3
秋学期,GE50601,知識情報特論IV,112,11,9.8,66,58.9,17,15.2,17,15.2,1,0.9,77,68.8
春学期,GE50712,専門英語B-1,53,6,11.3,15,28.3,30,56.6,1,1.9,1,1.9,21,39.6
春学期,GE50722,専門英語B-2,27,2,7.4,9,33.3,7,25.9,9,33.3,0,0.0,11,40.7
春学期,GE50732,専門英語B-3,46,0,0.0,2,4.3,30,65.2,13,28.3,1,2.2,2,4.3
秋学期,GE50812,専門英語C-1,41,3,7.3,13,31.7,18,43.9,5,12.2,2,4.9,16,39.0
