学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_per,C_dig,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,1320013,情報リテラシ実習,107,22,20.6,60,56.1,19,17.8,5,4.7,1,0.9,82,76.6
秋学期,GA10101,情報社会と法制度,180,29,16.1,35,19.4,40,22.2,24,13.3,52,28.9,64,35.6
秋学期,GA10201,知的財産概論,178,5,2.8,20,11.2,85,47.8,47,26.4,21,11.8,25,14.0
春学期,GA40303,ビジネスシステムデザインA,22,1,4.5,17,77.3,3,13.6,1,4.5,0,0.0,18,81.8
秋学期,GA40403,ビジネスシステムデザインB,19,2,10.5,13,68.4,3,15.8,0,0.0,1,5.3,15,78.9
春学期,GE10101,知識情報概論,133,8,6.0,29,21.8,45,33.8,48,36.1,3,2.3,37,27.8
秋学期,GE10201,哲学,128,26,20.3,44,34.4,31,24.2,15,11.7,12,9.4,70,54.7
春学期,GE10301,情報基礎,126,29,23.0,42,33.3,47,37.3,6,4.8,2,1.6,71,56.3
春学期,GE10413,情報基礎実習-1,63,2,3.2,25,39.7,29,46.0,7,11.1,0,0.0,27,42.9
春学期,GE10423,情報基礎実習-2,58,6,10.3,25,43.1,20,34.5,3,5.2,4,6.9,31,53.4
秋学期,GE10612,プログラミング演習I-1,56,6,10.7,23,41.1,12,21.4,14,25.0,1,1.8,29,51.8
秋学期,GE10622,プログラミング演習I-2,57,13,22.8,26,45.6,9,15.8,5,8.8,4,7.0,39,68.4
秋学期,GE10712,プログラミング演習II-1,56,4,7.1,10,17.9,10,17.9,2,3.6,30,53.6,14,25.0
秋学期,GE10722,プログラミング演習II-2,55,2,3.6,16,29.1,8,14.5,7,12.7,22,40.0,18,32.7
春学期,GE10732,プログラミング演習II-3,18,0,0.0,2,11.1,5,27.8,9,50.0,2,11.1,2,11.1
春学期,GE10801,情報数学,110,21,19.1,27,24.5,44,40.0,15,13.6,3,2.7,48,43.6
秋学期,GE10911,統計,122,16,13.1,24,19.7,41,33.6,18,14.8,23,18.9,40,32.8
春学期,GE11012,知識情報演習I-1,67,3,4.5,19,28.4,31,46.3,9,13.4,5,7.5,22,32.8
春学期,GE11022,知識情報演習I-2,64,2,3.1,12,18.8,44,68.8,5,7.8,1,1.6,14,21.9
秋学期,GE11112,知識情報演習II-1,66,0,0.0,15,22.7,40,60.6,8,12.1,3,4.5,15,22.7
秋学期,GE11122,知識情報演習II-2,65,1,1.5,13,20.0,40,61.5,10,15.4,1,1.5,14,21.5
秋学期,GE11212,知識情報演習III-1,72,4,5.6,17,23.6,35,48.6,6,8.3,10,13.9,21,29.2
秋学期,GE11222,知識情報演習III-2,62,3,4.8,15,24.2,28,45.2,12,19.4,4,6.5,18,29.0
秋学期,GE11512,専門英語A-1,37,14,37.8,14,37.8,6,16.2,3,8.1,0,0.0,28,75.7
