学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_dig,C_per,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,1320013,情報リテラシ実習,30,3.0,10.0,20.0,66.7,5.0,16.7,0.0,0.0,2.0,6.7,23.0,76.7
秋学期,1320023,情報リテラシ実習,27,9.0,33.3,16.0,59.3,0.0,0.0,1.0,3.7,1.0,3.7,25.0,92.6
秋学期,1320033,情報リテラシ実習,26,7.0,26.9,19.0,73.1,0.0,0.0,0.0,0.0,0.0,0.0,26.0,100.0
秋学期,1320043,情報リテラシ実習,26,8.0,30.8,16.0,61.5,2.0,7.7,0.0,0.0,0.0,0.0,24.0,92.3
秋学期,GA10101,情報社会と法制度,231,21.0,9.1,94.0,40.7,67.0,29.0,30.0,13.0,19.0,8.2,115.0,49.8
秋学期,GA10201,知的財産概論,141,2.0,1.4,29.0,20.6,59.0,41.8,40.0,28.4,11.0,7.8,31.0,22.0
秋学期,GE10201,哲学,127,17.0,13.4,39.0,30.7,37.0,29.1,20.0,15.7,14.0,11.0,56.0,44.1
春学期,GE10301,情報基礎,126,16.0,12.7,45.0,35.7,48.0,38.1,16.0,12.7,1.0,0.8,61.0,48.4
春学期,GE10413,情報基礎実習-1,67,5.0,7.5,16.0,23.9,23.0,34.3,20.0,29.9,3.0,4.5,21.0,31.3
春学期,GE10423,情報基礎実習-2,64,5.0,7.8,14.0,21.9,29.0,45.3,13.0,20.3,3.0,4.7,19.0,29.7
秋学期,GE10612,プログラミング演習I-1,61,8.0,13.1,23.0,37.7,15.0,24.6,12.0,19.7,3.0,4.9,31.0,50.8
秋学期,GE10622,プログラミング演習I-2,56,6.0,10.7,14.0,25.0,19.0,33.9,17.0,30.4,0.0,0.0,20.0,35.7
秋学期,GE10712,プログラミング演習II-1,61,9.0,14.8,9.0,14.8,16.0,26.2,17.0,27.9,10.0,16.4,18.0,29.5
秋学期,GE10722,プログラミング演習II-2,59,1.0,1.7,16.0,27.1,17.0,28.8,17.0,28.8,8.0,13.6,17.0,28.8
春学期,GE10732,プログラミング演習II-3,7,0.0,0.0,2.0,28.6,3.0,42.9,2.0,28.6,0.0,0.0,2.0,28.6
春学期,GE10801,情報数学,117,31.0,26.5,36.0,30.8,43.0,36.8,5.0,4.3,2.0,1.7,67.0,57.3
秋学期,GE10911,統計,140,10.0,7.1,45.0,32.1,36.0,25.7,33.0,23.6,16.0,11.4,55.0,39.3
春学期,GE11012,知識情報演習I-1,64,7.0,10.9,32.0,50.0,19.0,29.7,4.0,6.3,2.0,3.1,39.0,60.9
春学期,GE11022,知識情報演習I-2,68,5.0,7.4,37.0,54.4,19.0,27.9,3.0,4.4,4.0,5.9,42.0,61.8
秋学期,GE11112,知識情報演習II-1,60,0.0,0.0,20.0,33.3,29.0,48.3,9.0,15.0,2.0,3.3,20.0,33.3
秋学期,GE11122,知識情報演習II-2,71,0.0,0.0,18.0,25.4,47.0,66.2,1.0,1.4,5.0,7.0,18.0,25.4
秋学期,GE11212,知識情報演習III-1,68,3.0,4.4,15.0,22.1,28.0,41.2,16.0,23.5,6.0,8.8,18.0,26.5
秋学期,GE11222,知識情報演習III-2,59,7.0,11.9,9.0,15.3,34.0,57.6,8.0,13.6,1.0,1.7,16.0,27.1
秋学期,GE11512,専門英語A-1,35,8.0,22.9,9.0,25.7,12.0,34.3,3.0,8.6,3.0,8.6,17.0,48.6
秋学期,GE11522,専門英語A-2,26,6.0,23.1,10.0,38.5,2.0,7.7,6.0,23.1,2.0,7.7,16.0,61.5
秋学期,GE11532,専門英語A-3,35,2.0,5.7,16.0,45.7,16.0,45.7,1.0,2.9,0.0,0.0,18.0,51.4
秋学期,GE11542,専門英語A-4,12,1.0,8.3,4.0,33.3,7.0,58.3,0.0,0.0,0.0,0.0,5.0,41.7
秋学期,GE20101,情報システム概説,113,5.0,4.4,38.0,33.6,37.0,32.7,22.0,19.5,11.0,9.7,43.0,38.1
秋学期,GE20201,基礎数学A,126,20.0,15.9,37.0,29.4,12.0,9.5,20.0,15.9,37.0,29.4,57.0,45.2
春学期,GE20301,基礎数学B,15,1.0,6.7,1.0,6.7,1.0,6.7,6.0,40.0,6.0,40.0,2.0,13.3
秋学期,GE20401,量的調査法,99,3.0,3.0,11.0,11.1,39.0,39.4,28.0,28.3,18.0,18.2,14.0,14.1
秋学期,GE20511,多変量解析,70,1.0,1.4,9.0,12.9,30.0,42.9,12.0,17.1,18.0,25.7,10.0,14.3
春学期,GE20601,情報探索論,131,16.0,12.2,22.0,16.8,30.0,22.9,32.0,24.4,31.0,23.7,38.0,29.0
秋学期,GE20701,質的調査法,117,2.0,1.7,39.0,33.3,53.0,45.3,12.0,10.3,11.0,9.4,41.0,35.0
春学期,GE20801,情報行動論,99,4.0,4.0,15.0,15.2,26.0,26.3,26.0,26.3,28.0,28.3,19.0,19.2
春学期,GE20901,知識発見基礎論,106,6.0,5.7,27.0,25.5,40.0,37.7,16.0,15.1,17.0,16.0,33.0,31.1
春学期,GE21001,知識資源組織化論,116,9.0,7.8,36.0,31.0,53.0,45.7,9.0,7.8,9.0,7.8,45.0,38.8
春学期,GE21101,データベース概説,108,14.0,13.0,28.0,25.9,44.0,40.7,19.0,17.6,3.0,2.8,42.0,38.9
秋学期,GE21201,コンピュータシステムとネットワーク,95,5.0,5.3,25.0,26.3,29.0,30.5,24.0,25.3,12.0,12.6,30.0,31.6
秋学期,GE21301,自然言語解析基礎,105,8.0,7.6,31.0,29.5,40.0,38.1,15.0,14.3,11.0,10.5,39.0,37.1
春学期,GE21401,メディア社会学,123,19.0,15.4,26.0,21.1,54.0,43.9,15.0,12.2,9.0,7.3,45.0,36.6
秋学期,GE21601,公共経済学,120,10.0,8.3,31.0,25.8,36.0,30.0,33.0,27.5,10.0,8.3,41.0,34.2
秋学期,GE21701,生涯学習と図書館,96,12.0,12.5,23.0,24.0,28.0,29.2,19.0,19.8,14.0,14.6,35.0,36.5
秋学期,GE21812,テクスト解釈-1,17,2.0,11.8,5.0,29.4,9.0,52.9,0.0,0.0,1.0,5.9,7.0,41.2
春学期,GE21822,テクスト解釈-2,13,1.0,7.7,4.0,30.8,5.0,38.5,0.0,0.0,3.0,23.1,5.0,38.5
秋学期,GE21832,テクスト解釈-3,75,0.0,0.0,34.0,45.3,33.0,44.0,6.0,8.0,2.0,2.7,34.0,45.3
春学期,GE22001,図書館概論,140,4.0,2.9,50.0,35.7,68.0,48.6,13.0,9.3,5.0,3.6,54.0,38.6
春学期,GE22101,経営・組織論,101,0.0,0.0,20.0,19.8,34.0,33.7,41.0,40.6,6.0,5.9,20.0,19.8
春学期,GE40201,学習指導と学校図書館,40,1.0,2.5,17.0,42.5,15.0,37.5,4.0,10.0,3.0,7.5,18.0,45.0
秋学期,GE40301,学校図書館メディアの構成,40,6.0,15.0,17.0,42.5,7.0,17.5,7.0,17.5,3.0,7.5,23.0,57.5
春学期,GE40401,読書と豊かな人間性,105,5.0,4.8,35.0,33.3,45.0,42.9,16.0,15.2,4.0,3.8,40.0,38.1
秋学期,GE40501,情報メディアの活用,36,1.0,2.8,3.0,8.3,22.0,61.1,4.0,11.1,6.0,16.7,4.0,11.1
春学期,GE40603,インターンシップ,44,6.0,13.6,33.0,75.0,5.0,11.4,0.0,0.0,0.0,0.0,39.0,88.6
春学期,GE50501,知識情報特論III,113,0.0,0.0,71.0,62.8,34.0,30.1,7.0,6.2,1.0,0.9,71.0,62.8
秋学期,GE50601,知識情報特論IV,114,0.0,0.0,75.0,65.8,22.0,19.3,12.0,10.5,5.0,4.4,75.0,65.8
春学期,GE50712,専門英語B-1,36,2.0,5.6,12.0,33.3,18.0,50.0,1.0,2.8,3.0,8.3,14.0,38.9
春学期,GE50722,専門英語B-2,37,4.0,10.8,12.0,32.4,12.0,32.4,9.0,24.3,0.0,0.0,16.0,43.2
春学期,GE50732,専門英語B-3,52,1.0,1.9,2.0,3.8,35.0,67.3,14.0,26.9,0.0,0.0,3.0,5.8
秋学期,GE50812,専門英語C-1,32,14.0,43.8,14.0,43.8,2.0,6.3,1.0,3.1,1.0,3.1,28.0,87.5
秋学期,GE50832,専門英語C-3,52,2.0,3.8,10.0,19.2,22.0,42.3,17.0,32.7,1.0,1.9,12.0,23.1
秋学期,GE51018,卒業研究,120,36.0,30.0,64.0,53.3,7.0,5.8,4.0,3.3,9.0,7.5,100.0,83.3
秋学期,GE60103,知識科学実習,30,3.0,10.0,16.0,53.3,8.0,26.7,2.0,6.7,1.0,3.3,19.0,63.3
春学期,GE60201,テクニカルコミュニケーション,77,10.0,13.0,15.0,19.5,40.0,51.9,9.0,11.7,3.0,3.9,25.0,32.5
春学期,GE60501,知識論,29,5.0,17.2,5.0,17.2,9.0,31.0,7.0,24.1,3.0,10.3,10.0,34.5
秋学期,GE60601,知識形成論,44,5.0,11.4,10.0,22.7,18.0,40.9,7.0,15.9,4.0,9.1,15.0,34.1
春学期,GE60701,レファレンスサイエンス,11,1.0,9.1,1.0,9.1,6.0,54.5,0.0,0.0,3.0,27.3,2.0,18.2
春学期,GE60801,学術メディア論,31,5.0,16.1,4.0,12.9,9.0,29.0,7.0,22.6,6.0,19.4,9.0,29.0
秋学期,GE61001,コミュニティ情報論,37,5.0,13.5,7.0,18.9,13.0,35.1,8.0,21.6,4.0,10.8,12.0,32.4
秋学期,GE61101,図書館建築論,102,34.0,33.3,36.0,35.3,19.0,18.6,6.0,5.9,7.0,6.9,70.0,68.6
秋学期,GE61201,知識構造化法,38,0.0,0.0,4.0,10.5,10.0,26.3,3.0,7.9,21.0,55.3,4.0,10.5
春学期,GE61301,情報評価,52,3.0,5.8,17.0,32.7,24.0,46.2,3.0,5.8,5.0,9.6,20.0,38.5
秋学期,GE61501,データマイニング,30,0.0,0.0,12.0,40.0,8.0,26.7,5.0,16.7,5.0,16.7,12.0,40.0
春学期,GE61701,サイエンスコミュニケーション,26,2.0,7.7,6.0,23.1,10.0,38.5,5.0,19.2,3.0,11.5,8.0,30.8
春学期,GE62001,生命情報学,23,4.0,17.4,4.0,17.4,4.0,17.4,6.0,26.1,5.0,21.7,8.0,34.8
春学期,GE62101,知識コミュニケーション,41,3.0,7.3,12.0,29.3,18.0,43.9,7.0,17.1,1.0,2.4,15.0,36.6
秋学期,GE62201,メディア社会文化論,43,5.0,11.6,6.0,14.0,19.0,44.2,6.0,14.0,7.0,16.3,11.0,25.6
秋学期,GE62301,ソーシャルメディア分析,14,0.0,0.0,2.0,14.3,7.0,50.0,1.0,7.1,4.0,28.6,2.0,14.3
秋学期,GE70103,知識情報システム実習,39,5.0,12.8,18.0,46.2,15.0,38.5,1.0,2.6,0.0,0.0,23.0,59.0
春学期,GE70201,情報サービスシステム,27,0.0,0.0,7.0,25.9,17.0,63.0,1.0,3.7,2.0,7.4,7.0,25.9
春学期,GE70301,ディジタルドキュメント,102,7.0,6.9,40.0,39.2,23.0,22.5,23.0,22.5,9.0,8.8,47.0,46.1
秋学期,GE70401,ディジタルライブラリ,62,5.0,8.1,10.0,16.1,15.0,24.2,15.0,24.2,17.0,27.4,15.0,24.2
春学期,GE70501,情報検索システム,66,6.0,9.1,20.0,30.3,21.0,31.8,14.0,21.2,5.0,7.6,26.0,39.4
春学期,GE70601,Webプログラミング,41,2.0,4.9,7.0,17.1,12.0,29.3,8.0,19.5,12.0,29.3,9.0,22.0
秋学期,GE70701,マルチメディアシステム,23,4.0,17.4,4.0,17.4,7.0,30.4,4.0,17.4,4.0,17.4,8.0,34.8
春学期,GE70801,データ表現と処理,40,4.0,10.0,5.0,12.5,29.0,72.5,1.0,2.5,1.0,2.5,9.0,22.5
秋学期,GE70901,データベース技術,32,2.0,6.3,7.0,21.9,9.0,28.1,9.0,28.1,5.0,15.6,9.0,28.1
春学期,GE71001,情報デザインとインタフェース,30,5.0,16.7,12.0,40.0,9.0,30.0,1.0,3.3,3.0,10.0,17.0,56.7
春学期,GE71201,知識資源の分析,33,4.0,12.1,8.0,24.2,13.0,39.4,5.0,15.2,3.0,9.1,12.0,36.4
秋学期,GE71301,知識資源の記述,15,0.0,0.0,13.0,86.7,1.0,6.7,0.0,0.0,1.0,6.7,13.0,86.7
秋学期,GE71501,クラウドコンピューティング,33,5.0,15.2,10.0,30.3,12.0,36.4,1.0,3.0,5.0,15.2,15.0,45.5
秋学期,GE71701,テキスト処理,18,2.0,11.1,5.0,27.8,7.0,38.9,2.0,11.1,2.0,11.1,7.0,38.9
