学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_dig,C_per,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,1320013,情報リテラシ実習,27,4.0,14.8,20.0,74.1,2.0,7.4,1.0,3.7,0.0,0.0,24.0,88.9
秋学期,1320023,情報リテラシ実習,27,4.0,14.8,22.0,81.5,1.0,3.7,0.0,0.0,0.0,0.0,26.0,96.3
秋学期,1320033,情報リテラシ実習,27,4.0,14.8,16.0,59.3,5.0,18.5,1.0,3.7,1.0,3.7,20.0,74.1
秋学期,1320043,情報リテラシ実習,25,4.0,16.0,19.0,76.0,2.0,8.0,0.0,0.0,0.0,0.0,23.0,92.0
秋学期,GA10101,情報社会と法制度,248,17.0,6.9,107.0,43.1,79.0,31.9,25.0,10.1,20.0,8.1,124.0,50.0
秋学期,GA10201,知的財産概論,170,0.0,0.0,67.0,39.4,63.0,37.1,26.0,15.3,14.0,8.2,67.0,39.4
春学期,GE10101,知識情報概論,125,12.0,9.6,30.0,24.0,68.0,54.4,12.0,9.6,3.0,2.4,42.0,33.6
秋学期,GE10201,哲学,138,15.0,10.9,48.0,34.8,45.0,32.6,20.0,14.5,10.0,7.2,63.0,45.7
春学期,GE10301,情報基礎,117,10.0,8.5,42.0,35.9,49.0,41.9,11.0,9.4,5.0,4.3,52.0,44.4
春学期,GE10413,情報基礎実習-1,60,1.0,1.7,12.0,20.0,27.0,45.0,15.0,25.0,5.0,8.3,13.0,21.7
春学期,GE10423,情報基礎実習-2,64,3.0,4.7,14.0,21.9,25.0,39.1,13.0,20.3,9.0,14.1,17.0,26.6
秋学期,GE10612,プログラミング演習I-1,58,1.0,1.7,30.0,51.7,11.0,19.0,14.0,24.1,2.0,3.4,31.0,53.4
秋学期,GE10622,プログラミング演習I-2,60,1.0,1.7,24.0,40.0,15.0,25.0,13.0,21.7,7.0,11.7,25.0,41.7
秋学期,GE10712,プログラミング演習II-1,58,3.0,5.2,4.0,6.9,16.0,27.6,20.0,34.5,15.0,25.9,7.0,12.1
秋学期,GE10722,プログラミング演習II-2,74,3.0,4.1,6.0,8.1,19.0,25.7,32.0,43.2,14.0,18.9,9.0,12.2
春学期,GE10732,プログラミング演習II-3,17,0.0,0.0,3.0,17.6,0.0,0.0,12.0,70.6,2.0,11.8,3.0,17.6
春学期,GE10801,情報数学,120,12.0,10.0,19.0,15.8,32.0,26.7,23.0,19.2,34.0,28.3,31.0,25.8
秋学期,GE10911,統計,145,8.0,5.5,48.0,33.1,39.0,26.9,34.0,23.4,16.0,11.0,56.0,38.6
春学期,GE11012,知識情報演習I-1,71,3.0,4.2,20.0,28.2,39.0,54.9,5.0,7.0,4.0,5.6,23.0,32.4
春学期,GE11022,知識情報演習I-2,67,5.0,7.5,22.0,32.8,28.0,41.8,5.0,7.5,7.0,10.4,27.0,40.3
秋学期,GE11112,知識情報演習II-1,65,1.0,1.5,28.0,43.1,26.0,40.0,3.0,4.6,7.0,10.8,29.0,44.6
秋学期,GE11122,知識情報演習II-2,62,6.0,9.7,21.0,33.9,22.0,35.5,6.0,9.7,7.0,11.3,27.0,43.5
秋学期,GE11212,知識情報演習III-1,72,5.0,6.9,25.0,34.7,29.0,40.3,5.0,6.9,8.0,11.1,30.0,41.7
秋学期,GE11222,知識情報演習III-2,64,16.0,25.0,12.0,18.8,21.0,32.8,10.0,15.6,5.0,7.8,28.0,43.8
秋学期,GE11512,専門英語A-1,7,5.0,71.4,1.0,14.3,1.0,14.3,0.0,0.0,0.0,0.0,6.0,85.7
秋学期,GE11522,専門英語A-2,49,20.0,40.8,14.0,28.6,5.0,10.2,4.0,8.2,6.0,12.2,34.0,69.4
秋学期,GE11532,専門英語A-3,22,3.0,13.6,14.0,63.6,2.0,9.1,2.0,9.1,1.0,4.5,17.0,77.3
秋学期,GE11542,専門英語A-4,38,2.0,5.3,28.0,73.7,2.0,5.3,3.0,7.9,3.0,7.9,30.0,78.9
秋学期,GE20101,情報システム概説,105,6.0,5.7,34.0,32.4,35.0,33.3,19.0,18.1,11.0,10.5,40.0,38.1
秋学期,GE20201,基礎数学A,128,84.0,65.6,24.0,18.8,9.0,7.0,1.0,0.8,10.0,7.8,108.0,84.4
春学期,GE20301,基礎数学B,25,2.0,8.0,3.0,12.0,1.0,4.0,4.0,16.0,15.0,60.0,5.0,20.0
秋学期,GE20401,量的調査法,101,24.0,23.8,22.0,21.8,26.0,25.7,13.0,12.9,16.0,15.8,46.0,45.5
