学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_dig,C_per,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,GA10101,情報社会と法制度,120,7,5.8,30,25.0,51,42.5,30,25.0,2,1.7,37,30.8
秋学期,GA10201,知的財産概論,131,4,3.1,28,21.4,44,33.6,40,30.5,15,11.5,32,24.4
春学期,GA14111,知識情報概論,327,39,11.9,118,36.1,125,38.2,38,11.6,7,2.1,157,48.0
秋学期,GA14121,知識情報概論,111,11,9.9,28,25.2,46,41.4,16,14.4,10,9.0,39,35.1
春学期,GA14201,知識情報システム概説,324,27,8.3,197,60.8,74,22.8,15,4.6,11,3.4,224,69.1
秋学期,GA14301,図書館概論,323,6,1.9,129,39.9,134,41.5,40,12.4,14,4.3,135,41.8
春学期,GA15141,情報数学A,109,8,7.3,34,31.2,33,30.3,24,22.0,10,9.2,42,38.5
春学期,GA15241,線形代数A,67,16,23.9,24,35.8,9,13.4,9,13.4,9,13.4,40,59.7
秋学期,GA15341,微分積分A,83,7,8.4,24,28.9,17,20.5,21,25.3,14,16.9,31,37.3
秋学期,GA18132,プログラミング入門,54,11,20.4,25,46.3,9,16.7,1,1.9,8,14.8,36,66.7
秋学期,GA18142,プログラミング入門,50,9,18.0,30,60.0,6,12.0,1,2.0,4,8.0,39,78.0
春学期,GA40303,ビジネスシステムデザインA,10,2,20.0,8,80.0,0,0.0,0,0.0,0,0.0,10,100.0
秋学期,GA40403,ビジネスシステムデザインB,10,3,30.0,7,70.0,0,0.0,0,0.0,0,0.0,10,100.0
秋学期,GE10201,哲学,122,15,12.3,70,57.4,27,22.1,2,1.6,8,6.6,85,69.7
秋学期,GE10632,プログラミング演習I,6,2,33.3,2,33.3,0,0.0,1,16.7,1,16.7,4,66.7
秋学期,GE10642,プログラミング演習I,8,2,25.0,2,25.0,2,25.0,1,12.5,1,12.5,4,50.0
春学期,GE10732,プログラミング演習II-3,37,0,0.0,13,35.1,18,48.6,2,5.4,4,10.8,13,35.1
春学期,GE10911,統計,135,13,9.6,33,24.4,55,40.7,21,15.6,13,9.6,46,34.1
春学期,GE11012,知識情報演習I-1,69,4,5.8,8,11.6,35,50.7,7,10.1,15,21.7,12,17.4
春学期,GE11022,知識情報演習I-2,62,8,12.9,29,46.8,13,21.0,7,11.3,5,8.1,37,59.7
秋学期,GE11112,知識情報演習II-1,66,0,0.0,17,25.8,35,53.0,10,15.2,4,6.1,17,25.8
秋学期,GE11122,知識情報演習II-2,66,3,4.5,22,33.3,29,43.9,4,6.1,8,12.1,25,37.9
秋学期,GE11212,知識情報演習III-1,69,12,17.4,22,31.9,14,20.3,9,13.0,12,17.4,34,49.3
秋学期,GE11222,知識情報演習III-2,69,24,34.8,16,23.2,9,13.0,12,17.4,8,11.6,40,58.0
秋学期,GE11542,専門英語A-4,9,2,22.2,1,11.1,4,44.4,0,0.0,2,22.2,3,33.3
春学期,GE11612,専門英語A1,55,17,30.9,23,41.8,9,16.4,4,7.3,2,3.6,40,72.7
春学期,GE11622,専門英語A1,12,3,25.0,8,66.7,0,0.0,0,0.0,1,8.3,11,91.7
春学期,GE11632,専門英語A1,36,18,50.0,8,22.2,5,13.9,2,5.6,3,8.3,26,72.2
秋学期,GE11712,専門英語A2,54,25,46.3,11,20.4,12,22.2,4,7.4,2,3.7,36,66.7
秋学期,GE11722,専門英語A2,11,1,9.1,9,81.8,1,9.1,0,0.0,0,0.0,10,90.9
秋学期,GE11732,専門英語A2,34,19,55.9,12,35.3,1,2.9,0,0.0,2,5.9,31,91.2
